('103.21.125.0/24', '8492 9002 15412 18101 9885 55824 132423')
('103.21.125.0/24', '3130 2914 15412 18101 9885 55824 132423')
('103.21.124.0/24', '40191 3257 15412 18101 9885 55824 132423')
('103.21.125.0/24', '2497 15412 18101 9885 55824 132423')
('103.21.124.0/24', '3741 15412 18101 9885 55824 132423')
('103.21.125.0/24', '11686 19782 11537 7660 7660 7660 24287 24490 55824 132423')
('103.21.125.0/24', '7660 24287 24490 55824 132423')
('103.21.125.0/24', '1299 15412 18101 9885 55824 132423')
('103.21.124.0/24', '6762 15412 18101 9885 55824 132423')
('103.21.125.0/24', '6939 15412 18101 9885 55824 132423')
('103.21.126.0/24', '7660 4635 1273 55410 132423 132423 132423 132423 132423 132423')
('103.21.127.0/24', '3741 3356 6453 4755 132423')
('103.21.126.0/24', '5413 3209 55410 132423 132423 132423 132423 132423 132423')
('103.21.127.0/24', '3130 1239 6453 4755 132423')
('103.21.127.0/24', '3303 6453 4755 132423')
('103.21.124.0/24', '701 1299 15412 18101 9885 55824 132423')
('103.21.124.0/24', '22652 3257 15412 18101 9885 55824 132423')
('103.21.124.0/24', '3257 15412 18101 9885 55824 132423')
('103.21.124.0/24', '286 15412 18101 9885 55824 132423')
('103.21.127.0/24', '2497 6453 4755 132423')
('103.21.125.0/24', '1239 1299 15412 18101 9885 55824 132423')
('103.21.124.0/24', '2914 15412 18101 9885 55824 132423')
('103.21.125.0/24', '5413 15412 18101 9885 55824 132423')
('103.21.127.0/24', '701 6453 4755 132423')
('103.21.124.0/24', '1221 4637 15412 18101 9885 55824 132423')
('103.21.125.0/24', '6539 577 2914 15412 18101 9885 55824 132423')
('103.21.125.0/24', '701 1299 15412 18101 9885 55824 132423')
('103.21.126.0/24', '701 3356 55410 132423 132423 132423 132423 132423 132423')
('103.21.126.0/24', '22652 3356 55410 132423 132423 132423 132423 132423 132423')
('103.21.124.0/24', '1239 1299 15412 18101 9885 55824 132423')
('103.21.126.0/24', '3356 55410 132423 132423 132423 132423 132423 132423')
('103.21.127.0/24', '1668 6453 4755 132423')
('103.21.126.0/24', '1299 1273 55410 132423 132423 132423 132423 132423 132423')
('103.21.127.0/24', '6939 1299 6453 4755 132423')
('103.21.124.0/24', '5413 15412 18101 9885 55824 132423')
