category,text
3,dj double act revamp chart show dj duo jk and joel are taking over bbc radio 1 s flagship chart show on sunday adding showbiz news celebrity interviews and between song banter they hope to boost ratings for the long running show which has been overtaken in popularity by independent radio s hit 40 uk rundown radio 1 s chart show is an institution and remains the station s single most popular show says jk also known as jason king for years people have been tuning in at four o clock with their tape recorders ready to record their favourite tunes not that i ever did that but things have moved on a lot now so it was time for a change that change involved ejecting previous host wes butters and relocating king and dj partner joel ross from their weekend afternoon radio 1 slot the pair have worked together for a decade meeting on viking radio in hull before moving to manchester station key 103 and winning two sony radio awards they also presented gadget series playboyz and car show motor maniacs for cable tv channel granada men and motors and pure soap on bbc three on the revamped chart show their cheeky laddish banter will punctuate star interviews and competitions film and dvd charts plus a look at future single releases in addition to the singles chart itself the chart rundown is no longer the only point of the programme says ross the show used to be the only way to discover who was in the top 40 now you can just click on the internet to find that out so the show has plenty of extra items too the show s reduced reliance upon the top 40 also reflects the fact that music fans are now more likely to download songs in digital format rather than buy them on compact disc vinyl or cassette i personally buy downloads rather than cd singles says 27 year old ross even my grandma can download songs now jk is still struggling with the technology though but it s premature for people to say that the singles chart is dead ross adds while sales of singles on traditional formats are down interest in songs has been revived by download sales which will be incorporated into our main chart rundown from april music fans still want to know what is the most popular song of the week ross will be plumping for chart success from rapper verbalicious and the stereophonics on sunday while king is more of an r b and dance music fan so listeners will get the advantage of both our music tastes says king 30 who describes outgoing host butters as an extremely professional and competent broadcaster the advantage joel and i have is that we re a double act with a rapport between us that makes the show much more interactive king says wes has a great broadcasting career ahead of him and if not i could always use a cleaner he jokes ross says the pair have done their best to ignore the weight of expectation placed upon the revamped show other people can worry about that we are going to continue doing what we do well he says at the end of the day this is a radio show that is meant to be entertaining nobody died
1,dollar gains on greenspan speech the dollar has hit its highest level against the euro in almost three months after the federal reserve head said the us trade deficit is set to stabilise and alan greenspan highlighted the us government s willingness to curb spending and rising household savings as factors which may help to reduce it in late trading in new york the dollar reached 1 2871 against the euro from 1 2974 on thursday market concerns about the deficit has hit the greenback in recent months on friday federal reserve chairman mr greenspan s speech in london ahead of the meeting of g7 finance ministers sent the dollar higher after it had earlier tumbled on the back of worse than expected us jobs data i think the chairman s taking a much more sanguine view on the current account deficit than he s taken for some time said robert sinche head of currency strategy at bank of america in new york he s taking a longer term view laying out a set of conditions under which the current account deficit can improve this year and next worries about the deficit concerns about china do however remain china s currency remains pegged to the dollar and the us currency s sharp falls in recent months have therefore made chinese export prices highly competitive but calls for a shift in beijing s policy have fallen on deaf ears despite recent comments in a major chinese newspaper that the time is ripe for a loosening of the peg the g7 meeting is thought unlikely to produce any meaningful movement in chinese policy in the meantime the us federal reserve s decision on 2 february to boost interest rates by a quarter of a point the sixth such move in as many months has opened up a differential with european rates the half point window some believe could be enough to keep us assets looking more attractive and could help prop up the dollar the recent falls have partly been the result of big budget deficits as well as the us s yawning current account gap both of which need to be funded by the buying of us bonds and assets by foreign firms and governments the white house will announce its budget on monday and many commentators believe the deficit will remain at close to half a trillion dollars
2,henman hopes ended in dubai third seed tim henman slumped to a straight sets defeat in his rain interrupted dubai open quarter final against ivan ljubicic the croatian eighth seed booked his place in the last four with a 7 5 6 4 victory over the british number one henman had looked on course to level the match after going 2 0 up in the second set but his progress was halted as the rain intervened again ljubicic hit back after the break to seal a fourth straight win over henman earlier in the day spanish fifth seed tommy robredo secured his semi final place when he beat nicolas kiefer of germany 6 4 6 4 afterwards henman was left cursing the weather and the umpire after seven breaks for rain during the match it was incredibly frustrating henman said it s raining and the umpire doesn t take control he kept telling us to play till the end of the game but if it s raining you come off the score s irrelevant it couldn t be more frustrating as i was very happy with my form until now you don t expect this in the desert
4,councils prepare to set tax rises council tax in scotland is set to rise by an average of about 4 in the coming year bbc scotland has learned authorities will decide final figures on thursday when projected increases will be more than twice the rate of inflation which is currently 1 6 the finance minister has urged councils to limit increases but they have warned that they will struggle to maintain services unless funding is increased they say much additional government money is for new initiatives scottish finance minister tom mccabe msp said last week in parliament i announced an additional 419m for core expenditure to local government in scotland that s a 5 5 increase and sits against an inflation rate of 1 6 so i think we have quite rightly said to councils this year that we would at the very least ask them to exercise restraint mr mccabe is also looking for local authorities to become more efficient and save money in coming years he told bbc radio scotland s sunday live programme here in scotland we have 32 councils who all have their own individual collection systems for council tax they have their own payroll systems and their own human resource systems we think there has to be opportunities there for rationalisation and using the money saved to reinvest in frontline services the councils umbrella organisation cosla which provided bbc scotland with the indicative figures for next year warned that councils would face a continuous struggle to maintain services mr mccabe has promised them about 8 1bn next year however most of the increase is targeted to new initiatives and councils will experience difficulties in maintaining core services a cosla spokesman said cosla says that it is willing to work with the executive on finding efficiency savings but that these will not be enough to maintain services they say the funding plans for the next three years will see councils lose more of the share of public spending the conservatives accuse the scottish executive of using the council tax to raise funds because it is too afraid to raise income tax the tory finance spokesman brian monteith msp said its a form of disguise yet again we see that council tax is being used as a way of passing on costs scared of actually using its three pence income tax that it could put up what we ve seen over the years is more and more burdens being put onto local authorities and the council tax payer having to pick up the bill there are also warnings that unless funding to councils is increased in the next few years then services may have to be reduced linda knox director of the scottish local authority management centre at strathclyde university said with this current settlement the increase is slowing at the same time the burdens on councils are greater than they were the settlement figures don t include pay increases and the executive is also requiring a substantial figure in the area of 325m in efficiency savings across the settlement period education will be protected from any cuts but linda knox says this will mean other services will suffer she said in practice that will mean a 4 5 cut for other services on the face of it the settlement looks like an increase of about 9 7 but by the time you take into account other factors its probably only about 1 in real terms
2,benitez delight after crucial win liverpool manager rafael benitez admitted victory against deportivo la coruna was vital in their tight champions league group jorge andrade s early own goal gave liverpool a 1 0 win and benitez said we started at a very high tempo and had many chances it is a very important win for us and we could have scored more goals we were very good defensively and also good on the counter attack we are pleased but move on to the next game igor biscan was outstanding in midfield after replacing injured xabi alonso and benitez said he played very well it is important to have all the players ready and a good squad so you can play more games at a high level benitez added it is all back in our own hands now it was a great win for us and i was delighted with what i feel was the best liverpool i have seen as far as my feelings about winning in spain that is really not important i want to see us win away matches in the champions league that it was in spain was not my first consideration as far as i am concerned it is important for liverpool to win it is not important in what country it is in benitez added benitez said we had a problem before the start it was decided that xabi could not play more than 45 minutes but in the end because of the way that dietmar hamann and igor biscan performed we did not need to change things until right at the end of the match depor are a good team and if you allow them to keep possession they can be very dangerous indeed but we knew that if we hit them on the counter attack it would make them nervous and that is how it worked out deportivo coach javier irureta said liverpool played very well and we just could not break them down i know we have now gone six games at home in europe without scoring but that does not reflect our overall performances but this time we did not play well and we lacked imagination the goal was a bad mistake and a big blow to our confidence players who usually want the ball at that stage did not want it i know we are bottom of the group but as long as there is hope of qualifying we will hang on to that
0,games help you learn and play god games in which players must control virtual people and societies could be educational says research a us researcher has suggested that games such as the sims could be a good way to teach languages ravi purushotma believes that the world of the sims can do a better job of teaching vocabulary and grammar than traditional methods the inherent fun of game playing could help to make learning languages much less of a chore said mr purushotma there must be few parents or teachers that do not worry that the lure of a video game on a computer or console is hard to resist by children that really should be doing their homework but instead of fearing computer games ravi purushotma believes that educationalists particularly language teachers should embrace games one goal would be to break what i believe to be the false assumption that learning and play are inherently oppositional he said he believes that the phenomenal ability of games such as the sims and others to capture the interest of adolescent audiences is ripe for exploitation the hard part of learning any language said mr purushotma were the basic parts of learning what different words refer to and how they are used to build up sentences boring lessons drumming vocabulary into pupils couched in terms they do not understand has made many languages far harder to learn than they should be the way we often teach foreign languages right now is somewhat akin to learning to ride a bike by formally studying gravity he said by contrast said mr purushotma learning via something like the sims may mean students do not feel like they are studying at all this was because the sims does not rely solely on words to get information across to players instead the actions of its computer controlled people and how they interact with their world often makes clear what is going on the incidental information about what a sim was doing could reinforce what a player or student was supposed to be learning said mr purushotma by contrast many language lessons try to impart information about a tongue with little context for instance he said in a version of the sims adapted to teach german if a player misunderstood what was meant by the word energie the actions of a tired sim stumbling then falling asleep would illustrate the meaning if necessary detailed textual information could be called upon to aid players or students understanding one of the drawbacks of the sims said mr purushotma was the lack of spoken language to help people brush up on pronunciation however online versions of the sims in which people have to move in meet the neighbours and get to know the local town could be adapted to help this although not wishing to claim that he is the first to suggest using a game can help people learn mr purushotma believes that educationalists have missed the potential they have to help getting a simulated person to perform everyday activities in a make believe world and having them described in a foreign language could be a powerful learning aid he believes before now he said educational software titles suffer by comparison with the slick graphics and rich worlds found in games but he said using pre prepared game worlds such as the sims has never been easier because tools have been made by its creators and fans that make it easy to modify almost any part of the game this could make it easy for teachers to adapt parts of the game for their own lessons i m hoping now to re create a well polished german learning mod for the sequel by this summer he told the bbc news website i m encouraged to hear that others are thinking of experimenting with japanese and spanish earlier work with a colleague on using civilisation iii to teach students about history showed that it could be a powerful way to get them to realise that solving a society s problems can not always come from making a single change a report on the experiment said students began asking historical and geographical questions in the context of game play using geography and history as tools for their game and drawing inferences about social phenomena based on their play mr purushotma s ideas were aired in an article for the journal language learning and technology
4,mcconnell in drunk remark row scotland s first minister has told a group of high school pupils that it is okay to get drunk once in a while jack mcconnell was speaking to more than 100 secondary pupils from schools in the highlands about the problems of binge drinking and drink promotions he has been criticised by the snp for encouraging young people to get drunk but the scottish executive has insisted mr mcconnell was speaking about adults and his comments were a recognition that people will get drunk the first minister s comments came in a question and answer session at glenurquhart high school in inverness attended by pupils from a number of secondary schools a highland councillor who was at the event has also defended mr mcconnell margaret davidson the independent member for the loch ness west said the first minister was speaking in a very general way and she was sure he was speaking about adults at the time when one pupil asked mr mcconnell how the executive proposed to tackle under age drinking began his response with the quip i m sure there s no under age drinking in the highlands he went on to speak about the evils of binge drinking and railed against irresponsible drinks promotions he said i hope i m not going to be seen as preaching to anybody here but the really serious problem at the moment is binge drinking and the impact it has on people s health and their ability to control what s happening round about them mr mcconnell said he regularly saw reports on the effects of binge drinking sprees which ended in assaults or even rapes and on the health consequences of binge drinking the one thing we are going to do something really serious about is binge drinking and irresponsible drinks promotions that can help lead to that he said far too many pub chains in particular are selling far too much booze far too cheaply and encouraging people to drink it far too quickly we are go to clamp down on that and make those promotions illegal in the hope that people can enjoy a drink sensibly over the course of an evening he added by all means get drunk once in a while but do not get into a situation where people are being encouraged to get completely incapable just to save some money and drink more quickly snp holyrood leader nicola sturgeon said this is an incredible gaffe by jack mcconnell we all know that under age drinking is an issue in scotland but it is quite staggering that any politician particularly the first minister should encourage young people to get drunk the first minister should withdraw these remarks immediately but an executive spokeswoman insisted mr mcconnell had made the remark with adults not youngsters in mind he was talking in the context of adults binge drinking and irresponsible drinks promotions which are for the over 18s she said it was just a recognition that people will get drunk but that binge drinking and drinks promotions that encourage it are not acceptable
0,sporting rivals go to extra time the current slew of sports games offers unparalleled opportunities for fans who like to emulate on field action without ever moving from the couch the two giants in the field espn and ea sports have been locked in a heavyweight battle for years the latter is the world s largest games manufacturer years of experience mean that the titles in their steady flow of sport sims are finely honed massively entertaining and ooze flair sports broadcaster espn meanwhile has leant its name to a series of games that are similarly classy but lower in profile and price but that status quo was changed forever or for the next 15 years at least by a deal earlier this year when espn sold ea the rights to its tv branding and on air talent meaning the espn games presently developed by sega will have to come to and end in their present form it was a massive money deal that not only raised eyebrows but stirred active indignation in many quarters with fans concerned that it is set to enable ea to monopolise the sports gaming landscape to an unhealthy degree some particularly disgruntled fans set up an online petition that notched more than 18 000 virtual signatures many of those clicking to complain were already rankled for the espn coup happened just weeks after ea had pulled off another enormous licensing deal controversially giving them exclusive rights to teams and personnel from america 191 s national football league nfl so will the sega espn range be missed a key reason for answering yes is that liking or disliking a sports game regularly comes down to personal taste and having some options available always proves hugely handy online soccer fans will testify to that between bouts of arguing over which high profile title rules supreme out of the similar yet hugely different fifa 2005 and pro evolution soccer 4 on the same note the espn 2k5 and ea sports games have so little to choose between them that picking favourites will come down to players personal preferences and spending budget rather than any technical elements taking hockey and basketball as examples both publishers efforts are phenomenally entertaining and fairly accessible they also both look awesome with the sega espn versions perhaps shading things on a graphical front in terms of gameplay i marginally preferred ea s nba live 2005 for basketball and was more satisfied ice hockey wise by espn s nhl 2k5 the espn games are a touch more arcade like in look and feel and are slightly easier to get into although like their rivals they also offer a dizzyingly extensive array of in game tricks and overall challenge modes that should be enough to quench thirsts of even the most die hard of sports fans perhaps the most interesting aspect of the espn deal will be seeing how it affects the presentation of ea s future titles the front end decoration of ea s games has become something of an art form in itself loaded with slick visuals and oodles of licensed music they are also immediately identifiable as coming from the ea stable and the inevitable compulsion to add an espn look will no doubt change that in various ways what is a shame is that the espn titles took similar care about framing the gameplay with an authentic setting their preambles look and sound much like they would on tv they are neat and excellent value games in their current form and combining them with ea s own established brand should produce a truly formidable beast
4,schools to take part in mock poll record numbers of schools across the uk are to take part in a mock general election backed by the government some 600 schools have already signed up for the y vote mock elections 2005 run by the hansard society and aimed at boosting interest in politics pupils in the schools taking part will learn the skills of speech writers canvassers and political candidates schools minister stephen twigg said engaging young people s interest was essential to the future of democracy he added said young people who are engaged and motivated by the political process are essential to the future health of our democracy the mock elections initiative provides an opportunity for pupils to develop their own understanding of how the democratic process works and why it matters by experiencing the election process first hand from running a campaign to the declaration of the final result we hope that young people will develop the enthusiasm to take part in the future the hansard society the electoral commission and the department for education and skills are running the programme pupils will stand as party candidates speech writers and canvassers michael raftery project manager at the hansard society said the y vote mock elections for schools mirror the excitement and buzz of a real election raising awareness of citizenship and the benefits of active democracy the mock votes will take place around 5 may widely expected to be the date of the general election information packs including ballot papers and manifesto guides with elections happening in early may were sent out to the 3 000 schools invited to take part
4,labour mps fears over squabbling if there is one thing certain to stiffen the spines of labour mps it is the prospect of losing their seats at a general election and it was largely that fear that led to tony blair and gordon brown being read the riot act during a meeting of the parliamentary labour party the views expressed by both backbenchers and labour peers over the claimed squabbling between the two men starkly demonstrated the widely held view within the labour party that the two most powerful figures in the government are jeopardising the next election as one hugely disgruntled backbencher said before the meeting it is time they realised it s not just my seat they are threatening but if they go on like this they could put the election in doubt it is a sentiment that is now running throughout the labour benches with mps eager to underline the message to their leaders to stop the squabbling and get on with the job at hand as paul flynn said what has deeply upset the party is in this time of all times when we wanted to come together we wanted to lead on the global issues to change politics for the next decade the whole thing was wrecked by a piece of childishness by the two main people in the party two people we greatly respect stephen pound echoed the message saying we know that the one thing that could entirely jeopardise what we are trying to achieve not for the labour party but for this country is the appearance of division we remember the 1980s they backed the suggestion that unless the squabbling stopped the people briefing on behalf of the two men would be named and shamed the dressing down appears to have done the trick with mr brown joining his alleged rival alan milburn who the prime minister put in charge of election planning in mr brown s stead and deputy prime minister john prescott at an election poster launch but the effect of all this is to have achieved two things firstly nobody is attempting to suggest any more that the stories of the rift between the chancellor and the prime minister are fictions created by the media and authors even mr prescott admitted that had he still been a backbencher he would have been giving mr blair and mr brown the same message secondly it has also underlined the view that the election campaign has to all intents and purposes kicked off but whether the telling off and the subsequent change in behaviour by the two men will do any good or can even be sustained through the campaign remains to be seen even as the mps were expressing their fears it emerged that while mr brown is in africa for a week the prime minister is to deliver a keynote speech on election themes for a third term and he is expected to repeat his recent insistence that the next manifesto will be new labour through and through similarly some were pointing out that the chancellor during the election poster launch once again refused to deny the claim that he told the prime minister he could never trust anything he said none the less what some believe now is that the effect of the warnings from the backbenchers will actually be to silence the brown camp effectively strengthening the prime minister s hand for example will those brownite briefers suggest their man is unhappy at the prime minister s timing or subject matter as may have been the case in the past what all seem agreed on however is that this sniping simply cannot be allowed to go on through the election campaign mind you we have heard similar pledges before
